pair,month_count,avg_support,avg_confidence,avg_lift
Beverages + Butchers,13,0.008349317950922168,0.05982918423795718,0.4191313398681627
Electric Household Essentials + Food,13,0.010282108027175262,0.0727035975532624,0.5155538583793521
Butchers + Furniture,13,0.008963038442552997,0.06467249707964519,0.4677943400612555
Beverages + Milk Products,12,0.008453656126485487,0.061715574828060414,0.45034743014518264
Butchers + Electric Household Essentials,12,0.00791322706167425,0.057699889785950476,0.41808203665303106
Furniture + Patisserie,11,0.007918381742474216,0.057711870080219566,0.4168914131283744
Electric Household Essentials + Furniture,11,0.00743920789681519,0.054904475669439144,0.4062133564973785
Beverages + Computers And Electric Accessories,11,0.007205679654806104,0.053912536294230054,0.396316350767763
Butchers + Patisserie,10,0.0077586358995095795,0.05464187935752283,0.3828593924108304
Food + Milk Products,10,0.007585739125801122,0.05366140509717241,0.3772530585384698
Electric Household Essentials + Milk Products,10,0.008298236667486367,0.05673157734041383,0.38931141769622574
Computers And Electric Accessories + Furniture,10,0.009762318946992211,0.07125626918952303,0.5197710508699271
Milk Products + Patisserie,10,0.008182495605354462,0.06040430333033029,0.44042923592565986
Butchers + Food,10,0.008269304694615941,0.05758873201625174,0.4013098608407514
Beverages + Food,10,0.00945859057549613,0.0656296146948199,0.4545497407057675
Beverages + Electric Household Essentials,10,0.00778897670692095,0.05484596766735034,0.3836742495539133
Computers And Electric Accessories + Electric Household Essentials,9,0.00874569162436141,0.061518967896009115,0.4325412553332614
Butchers + Milk Products,9,0.008540170973504936,0.06522919077266104,0.48299588576583324
Food + Furniture,9,0.008380804105315085,0.05976389852538508,0.42311207701143166
Butchers + Computers And Electric Accessories,8,0.008115106510370208,0.05949378973487325,0.43073205958265276
Furniture + Milk Products,8,0.00820760355632722,0.060208646918478104,0.44270882393853955
Computers And Electric Accessories + Food,8,0.008226393632797207,0.0571453426757802,0.396627801938185
Computers And Electric Accessories + Patisserie,7,0.009210528343825389,0.07213168945433845,0.5655783966099087
Beverages + Patisserie,7,0.00769364732642318,0.058671647179345796,0.4524926960120262
Beverages + Furniture,7,0.008505436730769237,0.06373147964132073,0.4754201728963814
Electric Household Essentials + Patisserie,7,0.0072580113345744445,0.05433447296967969,0.40596159878427407
Computers And Electric Accessories + Milk Products,6,0.009696231908854075,0.06925943248620693,0.4924459168201063
Food + Patisserie,4,0.009274426966832686,0.06590538739881988,0.4699507582106055
